Hi-Vol,,LSC    (bgd 1.246 cpm),,,,Efficency,,N0 / SCM Flow,,,[2]Bulk,,SO4 Anions,,  SO4 Rev
Sample ID,Range Collected,CPM,CPM - bgd,DPM,σ ,N,Δt (days),N0,atoms/m3,Error Propogation,atoms/m3,,μS/mL,μmol/m3,Bulk μS
OC17c S35 1/2,12/6-12/10/2019,3.719,2.473,3.53214,0.242,642071.43,16,728834.3,109,5.181E-05,218,,,,
OC18c S35 1/2,12/10-12/13/2019,2.644,1.398,1.99643,0.307,362909.94,11,395952.1,87,9.682E-05,175,,,,
OC19c S35 1/2,12/13-12/17/2019,5.060,3.814,5.44786,0.235,990309.16,12,1089067.8,163,5.012E-05,325,,,,
OC20c S35 1/2,12/17-12/20/2019,6.260,5.014,7.16214,0.340,1301931.29,20,1525439.3,312,9.937E-05,624,,,,
OC20c S35 1/2,12/17-12/20/2019,2.644,1.398,1.99643,0.340,362909.94,98,788773.8,161,9.937E-05,323,,,,
OC21c S35 1/2,12/20-12/24/2019,6.312,5.066,7.23643,0.157,1315434.91,18,1517034.8,243,3.596E-05,486,,,,
OC22c S35 1/2,12/24-12/30/2019,5.682,4.436,6.33643,0.584,1151833.29,12,1266699.9,126,8.299E-05,252,,,,
OC23c S35 1/2,12/30-1/6/2020,9.429,8.183,11.68929,0.394,2124873.39,12,2336776.5,207,4.996E-05,415,,,,
OC24c S35 1/2,1/6-1/13/2020,6.392,5.146,7.35071,0.222,1336209.72,19,2336776.5,210,2.851E-05,420,,,,
OC25c S35 1/2,1/13-1/17/2020,5.735,4.489,6.41214,0.330,1165596.60,10,1261687.2,186,6.963E-05,373,,,,
OC26c S35 1/2,1/17-1/22/2020,7.369,6.123,8.74643,0.338,1589922.07,12,1748477.1,224,6.185E-05,448,,,,
OC27c S35 1/2,1/22-1/27/2020,5.563,4.317,6.16643,0.376,1120930.77,11,1222989.0,146,6.406E-05,292,,,,
OC28c S35 1/2,1/27-1/30/2020,3.299,2.053,2.93214,0.207,533003.68,10,576944.0,125,6.401E-05,250,,,,
OC29c S35 1/2,1/30-2/3/2020,5.632,4.386,6.26500,0.411,1138849.04,13,1262381.5,184,8.553E-05,368,,,,
OC30c S35 1/2,2/3-2/6/2020,5.411,4.165,5.94929,0.242,1081458.63,6,1134101.6,252,7.682E-05,504,,,,
OC31c S35 1/2,2/6-2/10/2020,6.566,5.320,7.59929,0.207,1381394.93,8,1471772.2,215,4.314E-05,429,,,,
OC32c S35 1/2,2/10-2/13/2020,4.726,3.480,4.97071,0.365,903574.33,9,970346.8,215,1.157E-04,431,,,,
OC33c S35 1/2,2/13-2/17/2020,7.787,6.541,9.34357,0.443,1698470.44,7,1795313.9,260,9.155E-05,519,,,,
OC34c S35 1/2,2/17-2/24/2020,11.359,10.113,14.44643,0.240,2626065.65,12,2887950.1,252,2.991E-05,504,,,,
OC35c S35 1/2,2/24-2/27/2020,5.229,3.983,5.68929,0.393,1034195.94,11,1128357.2,258,1.285E-04,516,,3.198,,
OC36c S35 1/2,2/27-3/2/2020,6.724,5.478,7.82500,0.547,1422425.18,7,1503529.1,217,1.130E-04,435,,7.463,,
OC37c S35 1/2,3/2-3/5/2020,4.146,2.900,4.14214,0.127,752956.97,11,821512.0,184,4.067E-05,368,,3.39,,
OC38c S35 1/2,3/5-3/9/2020,3.201,1.955,2.79214,0.182,507554.54,9,545061.9,83,3.966E-05,166,,,,
OC39c S35 1/2,3/9-3/12/2020,2.826,1.580,2.25643,0.247,410172.63,10,443986.8,93,7.358E-05,185,,,,
OC40c S35 1/2,3/12-3/16/2020,4.634,3.388,4.83929,0.442,879683.30,18,1014501.1,149,9.283E-05,298,,,,
OC41c S35 1/2,3/16-3/19/2020,1.997,0.751,1.07214,0.145,194893.67,179,804672.4,176,4.527E-05,352,,3.364,,
OC41c S35 1/2,3/16-3/19/2020,2.046,0.800,1.14214,0.217,207618.24,185,898936.3,196,6.776E-05,393,,3.364,,
OC42c S35 1/2,3/19-3/23/2020,1.984,0.738,1.05357,0.165,191517.77,137,566938.6,84,3.503E-05,169,,,,
OC43c S35 1/2,3/23-3/26/2020,4.510,3.264,4.66214,0.324,847482.35,32,1091997.5,236,9.982E-05,471,,,,
OC44c S35 1/2,3/26-3/28/2020,3.372,2.126,3.03643,0.256,551960.70,7,583432.4,155,9.703E-05,310,,,,
OC45c S35 1/2,3/28-3/30/2020,2.798,1.552,2.21643,0.253,402901.44,92,835045.9,275,1.189E-04,550,,,,
OC46c S35 1/2,3/30-4/2/2020,2.445,1.199,1.71214,0.162,311232.60,91,639965.1,143,5.188E-05,287,,,,
OC47c S35 1/2,4/2-4/6/2020,6.027,4.781,6.82929,0.316,1241424.66,18,1431681.9,211,6.656E-05,422,,,,
OC47c S35 1/2,4/2-4/6/2020,4.705,3.459,4.94071,0.251,898120.94,35,1185077.7,175,5.287E-05,349,,,,
OC47c S35 1/2,4/2-4/6/2020,4.077,2.831,4.04357,0.221,735038.70,47,1066611.6,157,4.655E-05,315,,,,
OC48c S35 1/2,4/6-4/9/2020,2.992,1.746,2.49357,0.276,453280.35,15,510472.1,106,8.192E-05,212,,,,
OC49c S35 1/2,4/9-4/13/2020,3.590,2.344,3.34786,0.192,608572.05,12,669261.9,99,4.044E-05,197,,,,
OC50c S35 1/2,4/13-4/16/2020,3.242,1.996,2.85071,0.157,518201.63,112,1258395.5,265,4.715E-05,529,,,,
OC51c S35 1/2,4/16-4/20/2020,3.545,2.299,3.28357,0.310,596886.22,108,1404263.4,209,6.596E-05,418,,,,
OC52c S35 1/2,4/20-4/23/2020,4.296,3.050,4.35643,0.394,791909.73,0,791909.7,173,1.228E-04,345,,,,
OC53c S35 1/2,4/25-4/27/2020,2.900,1.654,2.36214,0.120,429389.33,99,940687.1,141,2.577E-05,283,,,,
